bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway_station,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_age_200,mean_age_500,mean_floors_200,mean_floors_500,mean_salaries_1000,mean_salaries_500,median_age_200,median_age_500,median_floors_200,median_floors_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,price_per_m,priced_houses_200,priced_houses_500,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
16,7,82,16,103,25,2,1,80,2769,237,610,6,3,6,1,19,2,11,3,96,99,2,3,52,52,102,107,2,3,40,47,14,5,112,33,13,1,110,8,33,8,3,401,135,3,0,2,0,2,0,238,81
31,11,93,26,204,68,2,1,192,2830,483,360,5,3,9,4,21,6,7,2,92,91,4,3,61,64,108,108,4,4,47,44,26,7,40,6,81,17,232,8,31,3,1,454,120,2,1,20,4,0,0,252,120
8,3,48,26,44,18,0,0,34,3199,191,1490,3,2,1,0,3,3,1,0,73,86,2,3,48,48,62,98,2,3,48,41,4,2,45,8,25,14,169,6,19,2,2,82,36,0,0,0,0,4,3,32,10
8,2,67,11,60,16,0,0,122,4458,781,710,1,1,1,1,1,1,3,2,95,67,3,3,59,62,111,107,3,3,50,50,10,0,12,2,9,1,241,9,22,1,0,170,31,1,0,0,0,1,1,267,48
4,1,85,23,82,18,0,0,63,3567,1007,1711,5,1,1,0,12,6,3,0,106,112,2,2,54,47,106,114,2,3,45,43,13,1,79,16,19,8,122,3,19,0,0,279,60,0,0,14,5,1,0,82,4
4,1,122,29,25,7,0,0,142,4977,303,1598,4,2,1,0,11,3,3,1,59,62,6,4,38,40,53,58,6,4,36,35,5,2,35,15,19,6,136,4,23,1,1,161,62,0,0,17,6,0,0,26,6
3,0,37,8,20,4,0,0,307,9532,1842,1889,0,0,0,0,2,0,1,1,22,23,7,6,50,43,22,15,7,7,40,47,2,1,2,0,3,0,121,2,9,0,0,71,18,0,0,0,0,0,0,15,4
14,4,48,9,69,13,0,0,112,2615,497,636,3,0,17,14,7,1,2,0,60,87,7,4,56,65,60,107,7,4,45,49,5,2,32,3,20,8,262,2,7,1,1,174,26,1,0,21,8,0,0,237,44
5,0,64,18,14,2,0,0,35,8621,658,2148,2,0,1,0,0,0,2,1,30,30,6,5,35,0,36,36,5,5,32,0,1,1,3,2,2,0,124,4,13,1,0,92,23,0,0,8,4,0,0,47,0
22,0,56,2,94,2,0,0,341,2492,560,803,2,0,2,0,33,1,6,1,3,3,4,5,49,61,4,4,5,5,40,45,26,1,80,6,7,0,187,5,12,2,0,392,20,3,0,3,0,0,0,200,12
2,2,6,0,13,1,0,0,810,5530,776,2016,0,0,2,0,0,0,1,1,3,33,13,10,64,71,4,4,13,11,50,60,2,0,12,3,2,0,183,4,7,1,0,29,4,0,0,0,0,0,0,192,59
26,10,73,7,175,37,2,0,258,2105,341,206,4,0,8,1,36,6,9,4,84,111,2,2,51,41,80,118,2,3,45,40,43,15,102,26,16,3,116,4,24,4,2,559,146,3,1,14,2,0,0,137,19
13,11,49,22,26,20,1,0,195,4006,694,519,0,0,5,3,0,0,0,0,43,49,4,3,57,59,63,60,3,3,48,52,3,2,15,6,6,4,167,5,16,1,0,113,52,1,0,10,6,0,0,112,42
0,0,6,0,0,0,0,0,959,6162,3297,2298,0,0,0,0,0,0,0,0,3,23,4,10,62,72,3,3,2,8,51,72,0,0,0,0,0,0,123,3,12,0,0,4,0,0,0,0,0,0,0,70,2
8,0,73,12,42,7,0,0,197,4888,930,1377,0,0,0,0,5,0,1,0,55,47,4,3,61,72,60,37,3,3,55,65,4,0,7,2,12,3,214,5,6,1,0,89,4,0,0,10,2,1,0,65,23
1,0,25,0,6,0,0,0,568,6019,2372,2642,0,0,0,0,2,0,1,0,15,17,8,8,41,35,16,15,9,7,40,40,1,0,1,0,1,0,112,5,15,0,0,51,10,0,0,0,0,0,0,16,3
0,0,1,1,3,3,0,0,448,11108,3831,6592,0,0,0,0,0,0,0,0,36,41,2,5,0,0,47,41,1,4,0,0,0,0,0,0,0,0,98,3,8,0,0,6,6,0,0,4,4,0,0,0,0
27,3,120,41,192,47,2,0,108,2014,49,318,6,1,9,4,35,10,10,3,45,84,2,2,50,50,45,107,2,3,40,39,27,7,197,52,41,13,129,2,16,8,2,615,169,6,2,11,4,1,0,205,86
